Location,SSID_AP1,BSSID_AP1,RSSI_AP1,SSID_AP2,BSSID_AP2,RSSI_AP2,SSID_AP3,BSSID_AP3,RSSI_AP3,SSID_AP4,BSSID_AP4,RSSI_AP4,X,Y
Stair_1,SBCE,b0:4e:26:34:9a:34,-52,SBCE,18:0f:76:36:03:78,-62,SBCE,f4:8c:eb:52:32:78,-65,SBCE,a4:2a:95:4d:77:40,-80,12.51,18.75
C205,SBCE,b0:4e:26:34:9a:35,-56,SBCE,18:0f:76:36:03:79,-66,SBCE,f4:8c:eb:52:32:79,-67,SBCE,a4:2a:95:4d:77:41,-84,11.41,19.0
C206,SBCE,b0:4e:26:34:9a:36,-64,SBCE,18:0f:76:36:03:80,-71,SBCE,f4:8c:eb:52:32:80,-63,SBCE,a4:2a:95:4d:77:42,-82,9.29,19.0
C207,SBCE,b0:4e:26:34:9a:37,-75,SBCE,18:0f:76:36:03:81,-75,SBCE,f4:8c:eb:52:32:81,-65,SBCE,a4:2a:95:4d:77:43,-78,5.5,19.0
C208,SBCE,b0:4e:26:34:9a:38,-79,SBCE,18:0f:76:36:03:82,-75,SBCE,f4:8c:eb:52:32:82,-64,SBCE,a4:2a:95:4d:77:44,-73,0.0,17.14
C209,SBCE,b0:4e:26:34:9a:39,-74,SBCE,18:0f:76:36:03:83,-71,SBCE,f4:8c:eb:52:32:83,-66,SBCE,a4:2a:95:4d:77:45,-75,0.0,8.5
C210,SBCE,b0:4e:26:34:9a:40,-75,SBCE,18:0f:76:36:03:84,-71,SBCE,f4:8c:eb:52:32:84,-69,SBCE,a4:2a:95:4d:77:46,-70,0.0,2.8
Stair_2,SBCE,b0:4e:26:34:9a:41,-78,SBCE,18:0f:76:36:03:85,-74,SBCE,f4:8c:eb:52:32:85,-79,SBCE,a4:2a:95:4d:77:47,-73,0.0,0.0
C201,SBCE,b0:4e:26:34:9a:42,-76,SBCE,18:0f:76:36:03:86,-64,SBCE,f4:8c:eb:52:32:86,-64,SBCE,a4:2a:95:4d:77:48,-80,4.28,0.0
Hallway,SBCE,b0:4e:26:34:9a:43,-83,SBCE,18:0f:76:36:03:87,-57,SBCE,f4:8c:eb:52:32:87,-62,SBCE,a4:2a:95:4d:77:49,-92,9.29,0.0
C202,SBCE,b0:4e:26:34:9a:44,-80,SBCE,18:0f:76:36:03:88,-54,SBCE,f4:8c:eb:52:32:88,-63,SBCE,a4:2a:95:4d:77:50,-86,11.01,0.0
Washroom,SBCE,b0:4e:26:34:9a:45,-75,SBCE,18:0f:76:36:03:89,-59,SBCE,f4:8c:eb:52:32:89,-65,SBCE,a4:2a:95:4d:77:51,-80,12.51,0.0
C203,SBCE,b0:4e:26:34:9a:46,-71,SBCE,18:0f:76:36:03:90,-63,SBCE,f4:8c:eb:52:32:90,-59,SBCE,a4:2a:95:4d:77:52,-74,12.51,8.5
Lab,SBCE,b0:4e:26:34:9a:47,-59,SBCE,18:0f:76:36:03:91,-68,SBCE,f4:8c:eb:52:32:91,-69,SBCE,a4:2a:95:4d:77:53,-80,12.51,16.9
